Block Group ID,Population,Parcels,School Kids,Households,Square Miles,Violent Crime Rate,Property Crime Rate,Nuisance Calls Rate,Vice Calls Rate,Animal Calls Rate,Median Household Income,Assessed Value 2012,Foreclosure Starts,Estimated Tax Bill 2012,Land Value Per Acre 2012,% School Aged Children,Household Size,PopDen,% High School or More,% Bachelors or More,Unemployment Rate,% In Labor Force,% on Public Assistance,Poverty Rate,Child Poverty Rate,% Owner Occupied,% Renter Occupied,Vacant Structures,Vacant Lots,Out of Town Owners,City Demolitions,Blighted Properties,Certs of Compliance/Occupancy Issued,Population Under 9,Population 10-17,Population 18-21,Population 22-29,Population 30's,Population 40's,Population 50's,Population 60's,Population Over 70,American Indian Population,Asian Population,Black Population,All Other Population,White Population,% Commercial Land Use,% Industrial Land Use,% Other Land Use,% Residential Land Use,% Vacant Land Use
360550022004,713,180,230,221,0.06,8.4,42.1,217.4,22.4,133.2,"30,781","48,000",2,1500.50,"57,340",32.3,3.2,12439.2,62.97,9.54,8.00,78.5,10.93,38.9,52.50,44.44,55.56,12,0,17,0,9,18,146,146,42,68,101,83,75,30,21,0,36,342,102,233,4.4,0.6,0.6,94.4,0.0
360550023001,1207,269,233,670,0.22,25.7,198.0,390.2,96.9,100.2,"19,861","34,000",2,1094.12,"42,388",19.3,1.8,5557.5,67.08,8.04,23.35,45.3,31.39,47.6,58.00,16.36,83.64,10,38,25,0,10,32,175,108,74,154,134,197,198,92,61,6,68,586,211,342,28.1,0.0,3.0,54.4,14.4
360550023002,919,268,256,377,0.08,26.1,56.6,284.0,145.8,126.2,"19,861","31,000",0,1000.34,"38,234",27.9,2.4,11093.2,67.08,8.04,15.48,50.5,31.39,47.6,58.00,29.10,70.90,19,23,49,1,20,16,179,130,80,119,108,129,98,45,24,13,44,426,189,260,15.0,0.0,0.0,76.3,8.6
360550023003,845,246,311,256,0.06,11.8,35.5,120.7,56.8,101.8,"19,861","29,900",5,934.69,"36,645",36.8,3.3,13492.8,67.08,8.04,7.32,42.4,31.39,47.6,58.00,26.02,73.98,32,15,37,3,25,20,199,135,69,106,106,93,79,40,15,3,110,373,108,254,2.0,0.0,0.8,91.0,6.1
360550023004,1283,353,367,446,0.11,12.5,39.8,191.0,159.0,117.7,"19,861","36,000",10,1156.64,"33,896",28.6,2.8,11986.6,67.08,8.04,16.23,65.6,31.39,47.6,58.00,28.33,71.67,21,21,53,3,16,31,269,186,87,168,161,144,167,62,35,12,66,519,240,458,6.9,0.0,0.3,86.7,6.1
360550024001,761,233,143,321,0.08,5.3,38.1,71.0,46.0,86.7,"21,099","42,250",4,1336.39,"31,635",18.8,2.4,9462.3,71.94,9.76,20.46,59.3,0.00,50.9,61.10,55.79,44.21,8,12,14,0,6,8,105,108,46,84,80,86,114,72,58,8,46,333,104,278,2.1,0.0,0.0,92.7,5.2
360550024002,1199,344,288,419,0.16,22.5,53.4,178.5,29.2,103.4,"21,099","28,000",10,875.29,"37,864",24.0,2.7,7484.1,71.94,9.76,15.04,57.5,0.00,50.9,61.10,20.64,79.36,32,34,53,1,23,20,272,170,70,142,138,163,157,46,35,8,5,629,152,413,5.9,0.6,1.5,82.1,10.0
360550024003,807,265,232,287,0.07,9.9,58.2,135.1,22.3,95.4,"21,099","32,000",3,1000.34,"38,561",28.7,2.8,11109.9,71.94,9.76,46.13,58.0,0.00,50.9,61.10,36.23,63.77,16,5,25,1,13,10,159,101,63,97,125,114,87,29,28,6,36,375,116,280,3.4,2.3,0.0,92.5,1.9
360550024004,806,252,216,267,0.06,8.7,54.6,80.6,50.9,94.3,"21,099","34,000",4,1062.86,"39,172",26.8,3.0,14469.2,71.94,9.76,20.00,51.2,0.00,50.9,61.10,39.68,60.32,16,9,25,0,10,20,159,124,66,102,94,101,90,45,23,3,50,359,133,264,2.0,0.0,0.0,94.4,3.6
360550027001,657,180,226,216,0.07,16.7,47.2,172.0,54.8,74.6,"25,725","32,050",0,1014.40,"35,511",34.4,3.0,9982.7,56.51,9.73,35.54,35.9,31.49,41,49.60,25.00,75.00,14,26,12,1,7,14,194,104,43,82,78,58,47,27,21,13,0,573,54,30,7.9,1.1,2.8,73.6,14.6
360550027002,775,321,226,291,0.09,25.8,49.0,180.6,58.1,77.4,"25,725","28,000",1,876.86,"37,808",29.2,2.7,8849.2,56.51,9.73,0.00,53.8,31.49,41,49.60,27.41,72.59,27,62,26,1,21,35,155,124,54,71,79,119,94,41,33,9,6,679,48,42,5.5,0.0,2.6,72.0,19.9
360550029001,598,143,5,345,0.05,1.7,28.4,78.6,3.3,6.7,"35,769","238,000",0,7854.49,"85,278",0.8,1.7,11265.1,94.81,65.16,0.00,84.1,43.46,16.9,27.30,45.45,54.55,1,7,12,0,4,18,19,7,38,267,95,46,41,51,27,3,13,6,17,562,16.7,0.0,2.2,76.1,5.1
360550029002,1118,200,4,734,0.09,1.8,43.8,100.2,5.4,23.3,"35,769","206,000",0,7336.84,"92,769",0.4,1.5,12369.6,94.81,65.16,3.24,89.4,43.46,16.9,27.30,31.00,69.00,0,3,19,0,5,36,18,13,64,555,202,93,72,63,27,4,38,54,39,987,34.6,0.0,3.1,60.7,1.6
360550029003,726,156,10,482,0.05,4.1,79.9,177.7,20.7,41.3,"35,769","161,950",0,6037.59,"109,695",1.4,1.5,14008.4,94.81,65.16,9.09,87.6,43.46,16.9,27.30,28.85,71.15,4,2,6,0,4,28,13,4,53,366,134,62,53,22,16,2,23,54,17,632,41.7,0.0,1.3,55.8,1.3
360550029004,1298,198,33,815,0.12,10.0,93.2,176.4,7.7,30.0,"35,769","170,000",2,7917.87,"172,119",2.5,1.4,11201.5,94.81,65.16,9.32,69.4,43.46,16.9,27.30,16.16,83.84,2,5,23,1,12,36,32,22,76,602,208,102,75,27,145,3,38,121,58,1081,56.6,0.0,3.0,37.9,2.5
360550030001,785,246,40,474,0.06,12.7,87.9,265.0,86.6,44.6,"31,337","104,500",3,3344.87,"62,427",5.1,1.7,13044.6,95.11,54.50,5.07,75.5,6.12,20.9,0.00,38.62,61.38,3,9,13,0,6,42,47,34,51,282,146,76,91,32,17,5,15,115,49,606,18.4,0.0,1.2,76.6,3.7
360550030002,1139,332,86,643,0.11,14.0,90.4,365.2,70.2,65.0,"31,337","99,100",2,3126.05,"62,038",7.6,1.8,10594.8,95.11,54.50,5.16,86.6,6.12,20.9,0.00,34.34,65.66,5,12,24,0,13,62,77,36,126,376,178,154,114,44,27,5,27,246,82,784,20.9,0.0,0.9,74.5,3.7
360550031001,855,209,23,516,0.07,5.8,25.7,149.7,5.8,14.0,"49,935","233,500",4,7736.97,"109,337",2.7,1.7,11856.8,97.18,67.30,7.23,90.7,17.95,13.3,4.70,46.41,53.59,0,3,14,0,2,25,31,12,56,379,141,80,78,47,25,0,11,16,30,798,20.7,1.5,1.0,75.3,1.5
360550031002,1044,247,34,569,0.09,1.0,13.4,75.7,8.6,16.3,"49,935","206,000",4,6955.46,"98,980",3.3,1.8,11756.5,97.18,67.30,1.87,79.1,17.95,13.3,4.70,50.61,49.39,1,3,26,0,3,27,47,23,75,382,158,113,87,87,54,5,32,55,36,921,20.6,0.0,0.9,77.3,1.3
360550031003,561,199,35,266,0.06,1.8,26.7,89.1,5.3,23.2,"49,935","185,000",,5939.49,"94,683",6.2,2.1,9181.3,97.18,67.30,0.00,83.5,17.95,13.3,4.70,75.88,24.12,3,2,5,0,2,11,44,30,20,161,77,79,68,50,27,1,13,27,18,503,8.0,0.0,0.5,90.5,1.0
360550031004,955,254,28,429,0.09,2.1,23.0,53.4,10.5,34.6,"49,935","220,000",,7127.39,"80,382",2.9,1.9,10667.9,97.18,67.30,0.00,79.9,17.95,13.3,4.70,70.87,29.13,3,1,7,0,6,30,56,23,27,266,158,125,128,96,68,2,19,59,25,852,9.1,0.0,1.2,89.4,0.4
360550031005,1211,249,20,806,0.07,5.8,52.0,127.2,11.6,27.3,"49,935","170,000",1,5783.19,"102,964",1.7,1.5,16556.0,97.18,67.30,6.95,94.6,17.95,13.3,4.70,27.71,72.29,1,2,15,0,1,42,31,20,63,593,219,123,80,56,19,3,38,73,61,1039,32.5,0.0,0.0,66.7,0.8
360550032001,1027,245,62,561,0.11,7.8,87.6,202.5,82.8,47.7,"15,000","92,850",0,3126.05,"59,880",6.0,1.7,9455.6,78.86,31.04,25.69,65.2,37.47,43.7,40.30,23.27,76.73,4,13,19,0,6,42,58,49,68,275,146,138,169,73,43,3,29,311,53,634,34.5,0.4,1.7,57.8,5.6
360550032002,800,194,70,490,0.15,13.8,77.5,207.5,22.5,40.0,"15,000","87,500",2,2969.75,"55,702",8.8,1.6,5177.3,78.86,31.04,17.35,65.3,37.47,43.7,40.30,29.90,70.10,4,11,21,0,1,27,90,36,66,211,129,87,120,32,26,0,13,353,53,381,27.7,0.5,5.2,60.7,5.8
360550033001,789,317,55,416,0.09,7.6,67.2,209.1,19.0,29.2,"23,542","92,000",0,2907.23,"61,545",7.0,1.9,8749.4,85.45,32.74,4.64,93.5,64.52,36,58.80,54.89,45.11,2,4,9,0,6,28,64,48,28,183,167,118,104,37,36,7,10,87,37,655,13.9,0.6,1.6,82.6,1.3
360550033002,868,177,39,616,0.05,8.1,56.5,169.4,19.6,25.3,"23,542","75,000",0,2344.54,"64,715",4.5,1.4,16274.0,85.45,32.74,27.99,42.2,64.52,36,58.80,43.50,56.50,3,6,15,0,3,23,46,47,29,116,111,166,188,100,53,9,33,164,45,626,12.4,0.0,1.1,83.1,3.4
360550034001,1094,376,90,563,0.10,9.1,66.7,78.6,69.5,61.2,"28,988","91,250",6,2938.49,"52,856",8.2,1.9,11054.9,79.78,40.01,11.49,66.6,18.35,37.7,40.30,40.43,59.57,7,11,50,0,7,47,87,62,60,312,190,152,123,52,49,10,13,219,54,808,14.0,0.0,0.9,81.9,3.2
360550034002,1412,312,146,640,0.17,3.5,31.2,62.3,2.8,32.6,"28,988","120,000",2,3829.41,"89,847",10.3,2.1,8247.7,79.78,40.01,7.75,53.3,18.35,37.7,40.30,64.10,35.90,1,4,11,0,2,26,141,98,63,292,240,228,196,103,42,5,140,327,85,860,6.5,0.6,1.3,90.3,1.3
360550035001,744,126,19,140,0.19,4.0,60.5,65.9,5.4,28.2,"51,875","171,750",0,5400.25,"71,389",2.6,2.1,3935.5,78.44,42.46,4.29,24.6,40.82,9.7,2.30,84.92,15.08,0,3,3,0,2,4,32,9,11,39,51,46,56,53,445,1,7,38,11,688,4.0,0.0,4.8,88.7,2.4
360550035002,770,307,51,375,0.07,1.3,22.1,68.8,3.9,40.3,"51,875","120,000",4,3751.26,"76,376",6.6,2.1,11531.0,78.44,42.46,4.22,76.1,40.82,9.7,2.30,74.92,25.08,0,1,8,0,0,21,89,37,23,171,144,90,112,62,38,2,22,68,37,643,1.6,0.0,0.7,97.4,0.3
360550036001,968,398,71,478,0.09,3.1,26.9,103.3,17.6,49.6,"43,140","81,800",5,2563.36,"62,105",7.3,2.0,11138.5,90.53,47.41,10.02,72.4,18.32,18,22.00,61.06,38.94,7,13,11,0,7,27,73,61,52,250,175,126,126,56,45,11,29,130,85,724,4.3,0.3,0.3,91.9,3.3
360550036002,893,355,73,405,0.13,2.2,34.7,77.3,14.6,37.0,"43,140","150,000",3,4689.07,"77,831",8.2,2.1,6875.9,90.53,47.41,4.26,57.3,18.32,18,22.00,75.21,24.79,1,23,5,0,0,11,111,70,25,91,162,143,153,84,49,2,22,105,39,727,1.2,0.0,0.3,91.9,6.6
360550036003,842,378,60,402,0.07,3.6,46.3,91.4,21.4,64.1,"43,140","87,700",2,2813.44,"72,028",7.1,2.1,12097.1,90.53,47.41,6.18,78.5,18.32,18,22.00,62.17,37.83,5,6,28,0,9,30,93,57,44,136,162,124,116,51,56,1,39,102,47,654,9.4,0.0,0.3,88.6,1.7
360550037001,864,225,38,421,0.09,0.0,9.3,83.3,6.9,19.7,"30,956","140,000",2,4457.75,"100,205",4.4,2.1,10092.3,90.73,51.51,13.44,76.2,90.74,18.6,28.30,43.11,56.89,1,4,11,0,2,28,65,26,32,374,172,93,59,21,18,2,16,75,46,727,11.1,0.0,0.4,86.7,1.8
360550037002,1053,263,47,416,0.15,4.7,19.9,91.2,7.6,28.5,"30,956","150,000",2,4782.85,"98,726",4.5,2.0,7096.6,90.73,51.51,7.31,77.0,90.74,18.6,28.30,50.57,49.43,2,13,22,0,2,24,74,117,57,294,154,90,111,69,79,4,16,115,47,875,5.7,0.0,0.8,88.3,5.3
360550037003,1157,339,87,576,0.11,5.2,46.7,108.0,41.5,39.8,"30,956","135,000",2,4301.44,"79,732",7.5,2.0,10176.3,90.73,51.51,8.06,68.3,90.74,18.6,28.30,50.44,49.56,6,11,16,0,2,29,112,57,73,361,205,119,120,67,36,6,28,159,63,907,10.5,0.0,0.6,85.5,3.3
360550038021,2320,11,0,0,0.15,0.9,9.9,3.9,0.4,0.0,-,"150,000",0,8238.97,14,0.0,0.0,15063.4,100.00,59.09,8.86,34.0,0.00,0,0.00,0.00,100.00,0,0,9,0,0,1,0,9,2172,139,0,0,0,0,0,5,427,107,123,1663,0.0,0.0,100.0,0.0,0.0
360550038051,1907,525,52,685,0.79,0.0,46.7,49.3,4.7,25.2,"27,018","121,000",1,3816.91,"60,145",2.7,1.8,2425.7,87.93,50.56,0.66,66.3,12.43,29.6,19.20,56.00,44.00,2,36,37,0,4,32,61,38,504,395,199,142,187,96,280,3,120,126,83,1578,11.2,0.0,3.8,77.8,7.2
360550038052,648,2,0,0,0.07,1.5,10.8,34.0,0.0,1.5,"27,018","15,248,250",0,837532.76,"31,870",0.0,0.0,9022.9,87.93,50.56,0.00,0.0,12.43,29.6,19.20,0.00,100.00,0,0,0,0,0,0,0,0,1,16,30,65,111,93,322,0,1,138,23,486,0.0,0.0,100.0,0.0,0.0
360550038053,2141,588,214,1099,0.32,3.3,47.6,77.5,11.2,29.0,"27,018","110,400",0,3530.87,"64,139",10.0,1.9,6661.3,87.93,50.56,4.74,53.9,12.43,29.6,19.20,60.03,39.97,5,9,50,0,1,25,309,122,129,499,286,213,208,142,225,2,122,671,138,1210,7.4,0.0,1.8,89.3,1.6
360550038054,2078,368,20,652,0.37,2.9,57.3,115.5,9.1,13.0,"27,018","136,000",1,4282.69,"64,487",1.0,2.0,5683.6,87.93,50.56,4.15,48.7,12.43,29.6,19.20,52.99,47.01,4,12,39,0,2,39,96,13,443,907,367,94,81,35,39,1,812,132,102,1032,7.0,0.0,1.7,87.9,3.4
360550038055,0,11,1,0,0.99,0.0,0.0,0.0,0.0,0.0,"27,018","79,750",0,2605.44,"122,159",0.0,0.0,0.0,87.93,50.56,0.00,0.0,12.43,29.6,19.20,0.00,100.00,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,50.0,0.0,50.0
360550038056,479,23,15,78,0.27,4.2,33.4,41.8,6.3,12.5,"27,018","536,300",0,29457.07,"55,732",3.1,2.0,1757.1,87.93,50.56,34.69,12.8,12.43,29.6,19.20,4.35,95.65,1,6,7,0,1,2,28,33,24,84,73,96,68,43,27,4,3,171,36,269,19.0,9.5,42.9,0.0,28.6
360550039001,983,222,209,358,0.13,11.2,37.6,168.9,76.3,84.4,"24,881","30,400",5,969.08,"27,067",21.3,2.8,7748.5,63.43,14.43,21.59,52.9,41.28,44.5,57.80,22.07,77.93,35,25,32,2,33,20,155,168,95,124,120,139,95,40,38,19,27,443,278,235,10.7,0.0,1.4,76.2,11.7
360550039002,1059,330,286,362,0.08,11.3,48.2,142.6,98.2,103.9,"24,881","42,000",4,1312.94,"39,578",27.0,2.9,13885.9,63.43,14.43,5.50,65.5,41.28,44.5,57.80,47.58,52.42,20,9,30,1,30,20,188,159,94,112,141,136,117,82,21,4,42,647,190,180,5.5,0.3,0.0,91.5,2.7
360550040001,643,225,176,239,0.06,21.8,51.3,217.7,42.0,163.3,"19,583","29,600",0,925.31,"36,418",27.4,2.7,11580.3,69.73,10.48,10.08,57.5,21.85,42.9,59.70,30.67,69.33,22,20,17,1,15,26,118,102,47,84,81,88,68,32,17,3,9,323,90,221,5.9,0.0,0.5,84.6,9.0
