1228,"FULTON EARLY CHILDHOOD CENTER","New York","New York","NY ","FULTON EARLY CHILDHOOD CENTER",362601005924,"SCHENECTADY CITY SCHOOL DISTRICT",3626010,"SCHENECTADY COUNTY",36093,"Reported 7 categories",36,"2007-2010","1986-2006","408 ELEANOR ST","SCHENECTADY","NY ",12306,NULL,"408 ELEANOR ST","SCHENECTADY","NY ",12306,NULL,5188813980,"1-Regular school","1-Local school district","1-Currently operational ","2-No","2-No","2-No","13-City: Small","1-Yes","1-Yes","5-Eligible for Title I SWP provides SWP program","?",10580,"Albany-Schenectady-Amsterdam, NY",104,42.797029,-73.971789,530600010006,530600010000,3621,"2-No","?",0,0,115,14,0,0,0,0,0,0,0,0,0,0,0,13
1190,"FRANKLIN DELANO ROOSEVELT ELEMENTARY SCHOOL","New York","New York","NY ","FRANKLIN DELANO ROOSEVELT ELEMENTARY SCHOOL",362601005996,"SCHENECTADY CITY SCHOOL DISTRICT",3626010,"SCHENECTADY COUNTY",36093,"Reported 7 categories",36,"2008-2010","1986-2007","570 LANSING ST","SCHENECTADY","NY ",12303,NULL,"570 LANSING ST","SCHENECTADY","NY ",12303,NULL,5188813970,"1-Regular school","1-Local school district","1-Currently operational ","2-No","2-No","2-No","13-City: Small","1-Yes","1-Yes","5-Eligible for Title I SWP provides SWP program","?",10580,"Albany-Schenectady-Amsterdam, NY",104,42.803461,-73.947916,530600010031,530600010000,3621,"2-No","?",0,0,20,18,23,25,27,23,27,0,0,0,0,0,0,11
1531,"HERMAN L BRADT ELEMENTARY SCHOOL","New York","New York","NY ","HERMAN L BRADT ELEMENTARY SCHOOL",360000404576,"ROTTERDAM-MOHONASEN CENTRAL SCHOOL DISTRICT",3600004,"SCHENECTADY COUNTY",36093,"Reported 7 categories",36,"1987-2010",1986,"2719 HAMBURG ST","SCHENECTADY","NY ",12303,4400,"2719 HAMBURG ST","SCHENECTADY","NY ",12303,4400,5183568400,"1-Regular school","1-Local school district","1-Currently operational ","2-No","2-No","2-No","21-Suburb: Large","2-No","1-Yes","2-Eligible for Title I TAS provides TAS program","?",10580,"Albany-Schenectady-Amsterdam, NY",104,42.773907,-73.935441,530515060001,530515060000,3621,"2-No","?",0,0,196,169,189,0,0,0,0,0,0,0,0,0,0,40
1425,"HAMILTON ELEMENTARY SCHOOL","New York","New York","NY ","HAMILTON ELEMENTARY SCHOOL",362601003578,"SCHENECTADY CITY SCHOOL DISTRICT",3626010,"SCHENECTADY COUNTY",36093,"Reported 7 categories",36,"1986-2010",NULL,"1091 WEBSTER ST","SCHENECTADY","NY ",12303,1738,"1091 WEBSTER ST","SCHENECTADY","NY ",12303,1738,5188813720,"1-Regular school","1-Local school district","1-Currently operational ","2-No","2-No","2-No","13-City: Small","1-Yes","1-Yes","5-Eligible for Title I SWP provides SWP program","?",10580,"Albany-Schenectady-Amsterdam, NY",104,42.796471,-73.949949,530600010009,530600010000,3621,"2-No","?",0,0,65,58,68,64,52,52,44,0,0,0,0,0,0,28
1590,"HILLSIDE SCHOOL","New York","New York","NY ","HILLSIDE SCHOOL",362088002957,"NISKAYUNA CENTRAL SCHOOL DISTRICT",3620880,"SCHENECTADY COUNTY",36093,"Reported 7 categories",36,"1986-2010",NULL,"1100 CORNELIUS AVE","SCHENECTADY","NY ",12309,5317,"1100 CORNELIUS AVE","SCHENECTADY","NY ",12309,5317,5183771856,"1-Regular school","1-Local school district","1-Currently operational ","2-No","2-No","2-No","21-Suburb: Large","2-No","1-Yes","2-Eligible for Title I TAS provides TAS program","?",10580,"Albany-Schenectady-Amsterdam, NY",104,42.805617,-73.894039,530301060004,530301060000,3621,"2-No","?",0,0,53,54,49,51,62,62,0,0,0,0,0,0,0,22
1708,"IROQUOIS MIDDLE SCHOOL","New York","New York","NY ","IROQUOIS MIDDLE SCHOOL",362088004488,"NISKAYUNA CENTRAL SCHOOL DISTRICT",3620880,"SCHENECTADY COUNTY",36093,"Reported 7 categories",36,"1986-2010",NULL,"2495 ROSENDALE RD","SCHENECTADY","NY ",12309,5317,"2495 ROSENDALE RD","SCHENECTADY","NY ",12309,5317,5183772233,"1-Regular school","1-Local school district","1-Currently operational ","2-No","2-No","2-No","21-Suburb: Large","2-No","1-Yes","2-Eligible for Title I TAS provides TAS program","?",10580,"Albany-Schenectady-Amsterdam, NY",104,42.796527,-73.863509,530301060008,530301060000,3621,"2-No","?",0,0,0,0,0,0,0,0,181,177,211,0,0,0,0,41
1637,"HOWE EARLY CHILDHOOD EDUCATIONAL CENTER","New York","New York","NY ","HOWE EARLY CHILDHOOD EDUCATIONAL CENTER",362601003580,"SCHENECTADY CITY SCHOOL DISTRICT",3626010,"SCHENECTADY COUNTY",36093,"Reported 7 categories",36,"1986-2010",NULL,"1065 BAKER AVE","SCHENECTADY","NY ",12309,5701,"1065 BAKER AVE","SCHENECTADY","NY ",12309,5701,5183708295,"1-Regular school","1-Local school district","1-Currently operational ","2-No","2-No","2-No","13-City: Small","1-Yes","1-Yes","5-Eligible for Title I SWP provides SWP program","?",10580,"Albany-Schenectady-Amsterdam, NY",104,42.807346,-73.904739,530600010010,530600010000,3621,"2-No","?",0,0,72,12,0,0,0,0,0,0,0,0,0,0,0,9
1827,"JEFFERSON ELEMENTARY SCHOOL","New York","New York","NY ","JEFFERSON ELEMENTARY SCHOOL",362598003567,"SCHALMONT CENTRAL SCHOOL DISTRICT",3625980,"SCHENECTADY COUNTY",36093,"Reported 7 categories",36,"1986-2010",NULL,"100 PRINCETOWN RD","SCHENECTADY","NY ",12306,1506,"100 PRINCETOWN RD","SCHENECTADY","NY ",12306,1506,5183551342,"1-Regular school","1-Local school district","1-Currently operational ","2-No","2-No","2-No","21-Suburb: Large","2-No","1-Yes","1-Eligible for Title I TAS provides no program","?",10580,"Albany-Schenectady-Amsterdam, NY",104,42.794384,-73.98815,530501060003,530501060000,3621,"2-No","?",0,0,114,132,123,144,133,0,0,0,0,0,0,0,0,49
1836,"JESSIE T ZOLLER SCHOOL","New York","New York","NY ","JESSIE T ZOLLER SCHOOL",362601003581,"SCHENECTADY CITY SCHOOL DISTRICT",3626010,"SCHENECTADY COUNTY",36093,"Reported 7 categories",36,"1986-2010",NULL,"1880 LANCASTER ST","SCHENECTADY","NY ",12308,1599,"1880 LANCASTER ST","SCHENECTADY","NY ",12308,1599,5183708290,"1-Regular school","1-Local school district","1-Currently operational ","2-No","2-No","2-No","13-City: Small","1-Yes","1-Yes","5-Eligible for Title I SWP provides SWP program","?",10580,"Albany-Schenectady-Amsterdam, NY",104,42.820614,-73.908268,530600010018,530600010000,3621,"2-No","?",0,0,61,75,77,61,56,61,80,0,0,0,0,0,0,30
1968,"KATHERINE BURR BLODGETT SUCCESS ACADEMY FOR MIDDLE","New York","New York","NY ","KATHERINE BURR BLODGETT SUCCESS ACADEMY FOR MIDDLE",362601006083,"SCHENECTADY CITY SCHOOL DISTRICT",3626010,"SCHENECTADY COUNTY",36093,"Reported 7 categories",36,"2008-2010","1986-2007","520 BRADT ST","SCHENECTADY","NY ",12303,NULL,"520 BRADT ST","SCHENECTADY","NY ",12303,NULL,5188813950,"1-Regular school","1-Local school district","1-Currently operational ","2-No","2-No","2-No","13-City: Small","1-Yes","1-Yes","5-Eligible for Title I SWP provides SWP program","?",10580,"Albany-Schenectady-Amsterdam, NY",104,42.797032,-73.966532,530600010032,530600010000,3621,"2-No","?",0,0,0,0,0,0,0,0,0,35,28,0,0,0,0,5
