"RECORD,C,7","N2,C,18","NAME,C,35","GR4YN,C,4","STREET,C,26","CITY,C,18","STATE,C,3","ZIP,C,6","PLUS_4,C,7","GDTLAT,N,10,6","GDTLONG,N,11,6","GDTSTAT,C,4","NYSAD_ID,N,11,0","NYSSD_ID,N,11,0"
      1,010100010014,MONTESSORI MAGNET SCHOOL,   1,75 PARK AVE,ALBANY,NY,12202,1798,42.645109,-73.761209,B1,104,42
      2,010100010016,SCHOOL 16,   1,41 N ALLEN ST,ALBANY,NY,12203,1698,42.667661,-73.791084,B1,104,42
      3,010100010018,SCHOOL 18,   1,43 BERTHA ST,ALBANY,NY,12209,2197,42.640540,-73.778852,B1,104,42
      4,010100010019,SCHOOL 19,   1,369 NEW SCOTLAND AVE,ALBANY,NY,12208,2797,42.658026,-73.805294,B1,104,42
      5,010100010020,SCHOOL 20,   1,570 N PEARL ST,ALBANY,NY,12204,1696,42.672906,-73.739686,B1,106,42
      6,010100010021,SCHOOL 21- OPPORTUNITY PROG,   0,666 CLINTON AVE,ALBANY,NY,12206,2274,42.668722,-73.774683,B1,104,42
      7,010100010023,ALBANY SCHOOL OF HUMANITIES,   1,108 WHITEHALL RD,ALBANY,NY,12209,1495,42.643110,-73.790967,B1,104,42
      8,010100010026,SCHOOL 26,   1,65 TREMONT ST,ALBANY,NY,12205,3599,42.685055,-73.797753,B1,104,42
      9,010100010027,SCHOOL 27,   1,1022 WESTERN AVE,ALBANY,NY,12203,2795,42.674137,-73.815211,B1,104,42
     10,010100010028,THOMAS S. O'BRIEN ACAD OF SCI,   1,100 DELAWARE AVE,ALBANY,NY,12202,1398,42.648602,-73.769550,B1,104,42
     11,010100010029,GIFFEN MEMORIAL SCHOOL,   1,274 S PEARL ST,ALBANY,NY,12202,1899,42.641668,-73.756965,B1,106,42
     12,010100010030,WILLIAM S. HACKETT MS,   0,45 DELAWARE AVE,ALBANY,NY,12202,1397,42.643906,-73.760621,15,106,42
     13,010100010031,PHILIP LIVINGSTON MAGNET ACAD,   0,315 NORTHERN BLVD,ALBANY,NY,12210,2699,42.669056,-73.755663,B1,106,42
     14,010100010034,ALBANY HS,   0,700 WASHINGTON AVE,ALBANY,NY,12203,1495,42.675217,-73.794987,B1,104,42
     15,010100010036,SUNSHINE SCHOOL TRANSITIONAL P,   0,,ALBANY,NY,12202,2199,42.643906,-73.760621,14,106,42
     16,010100010039,ARBOR HILL ES,   1,1 ARBOR DR,ALBANY,NY,12210,1399,42.656429,-73.760173,15,106,42
     17,010100010040,PHILIP SCHUYLER ES,   1,141 WESTERN AVE,ALBANY,NY,12203,1098,42.661028,-73.774201,B1,104,42
     18,010100010041,HARRIET GIBBONS HS,   0,400 SHERIDAN AVE,ALBANY,NY,12206,2984,42.661611,-73.765878,B1,106,42
     19,010201040001,BERNE-KNOX-WESTERLO JSHS,   0,1738 HELDERBERG TRL,BERNE,NY,12023,2926,42.599322,-74.146067,14,104,42
     20,010201040002,BERNE ES,   1,1738 HELDERBERG TRL,BERNE,NY,12023,2926,42.599322,-74.146067,14,104,42
     21,010201040004,WESTERLO ES,   0,1738 HELDERBERG TRL,BERNE,NY,12023,2926,42.599322,-74.146067,14,104,42
     22,010306060001,CLARKSVILLE ES,   1,58 VERDA LN,CLARKSVILLE,NY,12041,0020,42.560367,-73.973084,14,104,42
     23,010306060003,ELSMERE ES,   1,247 DELAWARE AVE,DELMAR,NY,12054,1499,42.626948,-73.820178,B1,102,42
     24,010306060004,GLENMONT ES,   1,328 RT 9W,GLENMONT,NY,12077,0994,42.608109,-73.789679,B1,102,42
     25,010306060005,HAMAGRAEL ES,   1,1 MC GUFFEY LN,DELMAR,NY,12054,4199,42.607171,-73.826993,B1,102,42
     26,010306060006,SLINGERLANDS ES,   1,25 UNION AVE,DELMAR,NY,12054,1699,42.627291,-73.859916,B1,102,42
     27,010306060007,BETHLEHEM CENTRAL MS,   0,332 KENWOOD AVE,DELMAR,NY,12054,2099,42.621149,-73.826107,B1,102,42
     28,010306060008,BETHLEHEM CENTRAL SHS,   0,700 DELAWARE AVE,DELMAR,NY,12054,2499,42.613555,-73.856840,B1,102,42
     29,010402060001,RAVENA SHS,   0,RT 9W,RAVENA,NY,12143,0150,42.476275,-73.815383,14,102,42
     30,010402060002,ALBERTUS W. BECKER SCHOOL,   1,RT 9W,SELKIRK,NY,12158,0248,42.564524,-73.806216,15,102,42
     31,010402060003,PIETER B. COEYMANS SCHOOL,   1,66 CHURCH ST,COEYMANS,NY,12045,0887,42.476085,-73.793909,18,102,42
     32,010402060008,RAVENA MS,   0,RT 9W,RAVENA,NY,12143,0150,42.476275,-73.815383,14,102,42
     33,010500010005,ABRAM LANSING SCHOOL,   1,27 JAMES ST,COHOES,NY,12047,3299,42.768532,-73.708219,B1,106,42
     34,010500010006,VAN SCHAICK ISLAND SCHOOL,   1,150 CONTINENTAL AVE,COHOES,NY,12047,3299,42.768496,-73.688028,B1,106,42
     35,010500010007,COHOES HS,   0,1 TIGER WAY,COHOES,NY,12047,3299,42.771541,-73.711126,14,106,42
     36,010500010008,COHOES MS,   0,7 BEVAN ST,COHOES,NY,12047,3299,42.770740,-73.711137,B1,106,42
     37,010500010009,HARMONY HILL SCHOOL,   1,MADELON K. HICKEY WAY,COHOES,NY,12047,3299,42.771541,-73.711126,14,106,42
     38,010601060003,ROESSLEVILLE SCHOOL,   1,100 CALIFORNIA AVE,ALBANY,NY,12205,2806,42.703671,-73.815309,B1,107,42
     39,010601060005,SADDLEWOOD ES,   1,100 LORALEE DR,ALBANY,NY,12205,2223,42.733546,-73.841892,B1,107,42
     40,010601060006,SHAKER ROAD ES,   1,512 ALBANY SHAKER RD,ALBANY,NY,12211,1569,42.710425,-73.780506,B1,107,42
     41,010601060008,COLONIE CENTRAL HS,   0,1 RAIDER BLVD,ALBANY,NY,12205,2717,42.717941,-73.823531,14,107,42
     42,010601060010,FOREST PARK ES,   1,100 FOREST DR,ALBANY,NY,12205,2508,42.718663,-73.827160,B1,107,42
     43,010601060011,VEEDER ES,   1,25 VEEDER DR,ALBANY,NY,12205,3619,42.752904,-73.866524,B1,107,42
     44,010601060012,SAND CREEK MS,   0,329 SAND CREEK RD,ALBANY,NY,12205,2928,42.703496,-73.798257,B1,107,42
     45,010601060013,LISHA KILL MS,   0,68 WATERMAN AVE,ALBANY,NY,12205,3621,42.748517,-73.862638,B1,107,42
     46,010605060002,BLUE CREEK SCHOOL,   1,100 CLINTON RD,LATHAM,NY,12110,4290,42.742204,-73.767697,15,107,42
     47,010605060003,BOGHT HILLS SCHOOL,   1,38 DUNSBACH FERRY RD,COHOES,NY,12047,5016,42.774530,-73.754559,B1,107,42
     48,010605060004,FORTS FERRY SCHOOL,   1,95 FORTS FERRY RD,LATHAM,NY,12110,1899,42.764867,-73.779768,B1,107,42
     49,010605060006,LATHAM RIDGE SCHOOL,   1,6 MERCER AVE,LATHAM,NY,12110,3304,42.754719,-73.743489,B1,107,42
     50,010605060007,LOUDONVILLE SCHOOL,   1,349 OSBORNE RD,LOUDONVILLE,NY,12211,1699,42.705393,-73.756249,B1,107,42
     51,010605060008,SOUTHGATE SCHOOL,   1,30 SOUTHGATE RD,LOUDONVILLE,NY,12211,1199,42.722820,-73.775785,B1,107,42
     52,010605060009,SHAKER JHS,   0,475 WATVLT-SHAKER RD,LATHAM,NY,12110,4698,42.742204,-73.767697,14,107,42
     53,010605060010,SHAKER HS,   0,445 WATVLT-SHAKER RD,LATHAM,NY,12110,4697,42.742204,-73.767697,14,107,42
     54,010615020001,MENANDS SCHOOL,   1,WARDS LN,MENANDS,NY,12204,2197,42.684430,-73.738179,15,107,42
     55,010622080001,MAPLEWOOD SCHOOL,   1,32 COHOES RD,WATERVLIET,NY,12189,1898,42.741491,-73.700897,B1,107,42
     56,010701030001,HEATLY SCHOOL,   1,171 HUDSON AVE,GREEN ISLAND,NY,12183,1293,42.743170,-73.691350,B1,106,42
     57,010802060001,ALTAMONT ES,   1,117 GRAND ST,ALTAMONT,NY,12009,0648,42.700126,-74.028415,B1,104,42
     58,010802060003,GUILDERLAND ES,   1,2225 WESTERN AVE,GUILDERLAND,NY,12084,9559,42.699570,-73.899533,B1,104,42
     59,010802060004,WESTMERE ES,   1,6270 JOHNSTON RD,ALBANY,NY,12203,4397,42.687083,-73.861490,B1,104,42
     60,010802060005,GUILDERLAND HS,   0,8 SCHOOL RD,GUILDERLAND CENTER,NY,12085,0037,42.702682,-73.965899,18,104,42
     61,010802060007,LYNNWOOD ES,   1,8 REGINA DR,SCHENECTADY,NY,12303,5408,42.726264,-73.945839,B1,104,42
     62,010802060008,FARNSWORTH MS,   0,6072 STATE FARM RD,GUILDERLAND,NY,12084,9534,42.694910,-73.890695,B1,104,42
     63,010802060009,PINE BUSH ES,   1,3437 CARMAN RD,SCHENECTADY,NY,12303,5347,42.746198,-73.942665,B1,104,42
     64,011003060001,VOORHEESVILLE ES,   1,129 MAPLE AVE,VOORHEESVILLE,NY,12186,0468,42.649695,-73.933160,B1,104,42
     65,011003060002,C.A. BOUTON JSHS,   0,432 NEW SALEM RD,VOORHEESVILLE,NY,12186,0527,42.632933,-73.965559,B1,104,42
     66,011200010002,WATERVLIET ES,   1,TENTH AVE,WATERVLIET,NY,12189,1759,42.725937,-73.706263,15,106,42
     67,011200010010,WATERVLIET JSHS,   0,WISWALL AVE,WATERVLIET,NY,12189,1759,42.725937,-73.706263,15,106,42
     68,020101040001,ALFRED-ALMOND ES,   1,6795 RT 21,ALMOND,NY,14804,9716,42.327203,-77.845020,14,136,56
     69,020101040002,ALFRED-ALMOND JSHS,   0,6795 RT 21,ALMOND,NY,14804,9716,42.327203,-77.845020,14,136,56
     70,020601040001,ANDOVER SCHOOL,   1,31-35 ELM ST,ANDOVER,NY,14806,0508,42.157145,-77.795379,15,149,56
     71,020702040001,GENESEE VALLEY ES - ANGELICA,   0,21 E MAIN ST,ANGELICA,NY,14709,9998,42.305868,-78.014937,B1,136,56
     72,020702040002,GENESEE VALLEY ES - BELMONT,   1,24 SOUTH ST,BELMONT,NY,14813,1096,42.219764,-78.034493,B1,149,56
     73,020702040003,GENESEE VALLEY HS,   0,24 SOUTH ST,BELMONT,NY,14813,0000,42.219764,-78.034493,B1,149,56
     74,020801040001,BELFAST SCHOOL,   1,P O BOX 336,BELFAST,NY,14711,0336,42.314536,-78.137216,14,136,56
     75,021102040001,CANASERAGA SCHOOL,   1,4-8 MAIN ST,CANASERAGA,NY,14822,0230,42.439017,-77.851353,14,136,56
     76,021601040004,FRIENDSHIP CENTRAL SCHOOL,   1,46 W MAIN ST,FRIENDSHIP,NY,14739,9702,42.155126,-78.159583,15,149,56
     77,022001040001,FILLMORE CENTRAL SCHOOL,   1,104 MAIN ST,FILLMORE,NY,14735,0177,42.466200,-78.121796,15,147,56
     78,022101040001,WHITESVILLE CENTRAL SCHOOL,   1,692 MAIN ST,WHITESVILLE,NY,14897,9706,42.052197,-77.825701,14,149,56
     79,022302040001,CUBA-RUSHFORD MS HS,   0,5476 RT 305 N,CUBA,NY,14727,0000,42.210279,-78.275211,15,149,56
     80,022302040002,CUBA ES,   1,15 ELM ST,CUBA,NY,14727,1097,42.217191,-78.277747,B1,149,56
     81,022302040003,RUSHFORD ES,   1,9114 SCHOOL ST,RUSHFORD,NY,14777,9706,42.390861,-78.255894,14,147,56
     82,022401040003,SCIO CENTRAL SCHOOL,   1,3968 WASHINGTON ST,SCIO,NY,14880,0017,42.171627,-77.977520,B1,149,56
     83,022601060002,WELLSVILLE MS,   0,30 N BROOKLYN AVE,WELLSVILLE,NY,14895,1397,42.118639,-77.950679,B1,149,56
     84,022601060004,WELLSVILLE SHS,   0,126 W STATE ST,WELLSVILLE,NY,14895,1358,42.118524,-77.948177,B1,149,56
     85,022601060005,WELLSVILLE ES,   1,98 SCHOOL ST,WELLSVILLE,NY,14895,1696,42.121766,-77.924534,B1,149,56
     86,022902040001,BOLIVAR JSHS,   0,100 SCHOOL ST,BOLIVAR,NY,14715,1235,42.065358,-78.160955,B1,149,56
     87,022902040002,BOLIVAR-RICHBURG ES,   1,MAIN ST,RICHBURG,NY,14774,0158,42.088286,-78.153729,18,149,56
     88,030101060001,CHARLOTTE KENYON ES,   1,6633 N Y RT 79,CHENANGO FORKS,NY,13746,1311,42.307892,-75.856128,14,123,51
     89,030101060002,JOHN R. HARSHAW PRIMARY SCHOOL,   0,6 PATCH RD,BINGHAMTON,NY,13901,5625,42.196303,-75.852628,B1,123,51
     90,030101060003,CHENANGO FORKS HS,   0,ONE GORDON DR,BINGHAMTON,NY,13901,5614,42.192464,-75.851235,B1,123,51
     91,030101060004,CHENANGO FORKS MS,   0,ONE GORDON DR,BINGHAMTON,NY,13901,5614,42.192464,-75.851235,B1,123,51
     92,030200010002,CALVIN COOLIDGE SCHOOL,   1,261 ROBINSON ST,BINGHAMTON,NY,13904,1695,42.108527,-75.880069,B1,124,51
     93,030200010005,BENJAMIN FRANKLIN ES,   1,262 CONKLIN AVE,BINGHAMTON,NY,13903,2399,42.096076,-75.891165,B1,124,51
     94,030200010008,THOMAS JEFFERSON SCHOOL,   1,151 HELEN ST,BINGHAMTON,NY,13905,3496,42.105209,-75.939406,B1,124,51
     95,030200010011,MACARTHUR SCHOOL,   1,1123 VESTAL AVE,BINGHAMTON,NY,13903,1599,42.090413,-75.910742,B1,124,51
     96,030200010012,THEODORE ROOSEVELT SCHOOL,   1,9 OGDEN ST,BINGHAMTON,NY,13901,2196,42.117610,-75.901059,B1,124,51
     97,030200010014,WOODROW WILSON SCHOOL,   1,287 PROSPECT ST,BINGHAMTON,NY,13905,2089,42.115242,-75.937297,B1,124,51
     98,030200010015,EAST MS,   0,167 E FREDERICK ST,BINGHAMTON,NY,13904,1399,42.111783,-75.888990,B1,124,51
     99,030200010016,WEST MS,   0,W MIDDLE AVE,BINGHAMTON,NY,13905,4199,42.114403,-75.934349,14,124,51
    100,030200010021,BINGHAMTON HS,   0,31 MAIN ST,BINGHAMTON,NY,13905,3179,42.099591,-75.918811,B1,124,51
    101,030200010022,HORACE MANN SCHOOL,   1,30 COLLEGE ST,BINGHAMTON,NY,13905,3699,42.099667,-75.927861,B1,124,51
    102,030501040001,W.A. OLMSTED ES,   1,P O BOX 147,HARPURSVILLE,NY,13787,0147,42.156875,-75.673461,14,124,51
    103,030501040003,HARPURSVILLE JSHS,   0,P O BOX 147,HARPURSVILLE,NY,13787,0147,42.156875,-75.673461,14,124,51
    104,030601060001,BROOKSIDE ES,   1,3849 SADDLEMIRE RD,BINGHAMTON,NY,13903,6231,42.031819,-75.892578,B1,124,51
    105,030601060002,CEDARHURST ES,   1,1605 N Y RT 11,KIRKWOOD,NY,13795,1602,42.051596,-75.800613,14,124,51
    106,030601060004,F.P. DONNELLY SCHOOL,   1,1168 CONKLIN RD,CONKLIN,NY,13748,0250,42.063838,-75.809796,B1,124,51
    107,030601060005,RICHARD T. STANK JHS,   0,1040 CONKLIN RD,CONKLIN,NY,13748,0225,42.077517,-75.822021,B1,124,51
    108,030601060006,SUSQUEHANNA VALLEY SHS,   0,1040 CONKLIN RD,CONKLIN,NY,13748,0275,42.077517,-75.822021,B1,124,51
    109,030701060001,CHENANGO VALLEY JSHS,   0,1160 CHENANGO ST,BINGHAMTON,NY,13901,1653,42.151207,-75.885842,B1,123,51
    110,030701060003,CHENANGO BRIDGE ES,   1,1160 CHENANGO ST,BINGHAMTON,NY,13901,1653,42.151207,-75.885842,B1,123,51
    111,030701060004,PORT DICKINSON ES,   0,1160 CHENANGO ST,BINGHAMTON,NY,13901,1653,42.151207,-75.885842,B1,123,51
    112,031101060003,HOMER BRINK SCHOOL,   1,3618 BRIAR LN,ENDWELL,NY,13760,2499,42.119145,-76.017099,B1,123,51
    113,031101060004,MAINE MEMORIAL SCHOOL,   1,2693 MAIN ST,MAINE,NY,13802,0218,42.210010,-76.051872,14,123,51
    114,031101060005,MAINE-ENDWELL MS,   0,1119 FARM-TO-MARKT RD,ENDWELL,NY,13760,1197,42.134766,-76.023247,B1,123,51
    115,031101060006,MAINE-ENDWELL SHS,   0,750 FARM-TO-MARKET RD,ENDWELL,NY,13760,1198,42.127041,-76.023768,B1,123,51
    116,031301040002,DEPOSIT ES,   1,171 SECOND ST,DEPOSIT,NY,13754,1397,42.064765,-75.419757,B1,122,40
    117,031301040003,DEPOSIT JSHS,   0,171 SECOND ST,DEPOSIT,NY,13754,1397,42.064765,-75.419757,B1,122,40
    118,031401060001,WHITNEY POINT IS,   1,RT 11,WHITNEY POINT,NY,13862,0249,42.352978,-75.937096,14,123,51
    119,031401060002,WHITNEY POINT MS,   0,RT 11,WHITNEY POINT,NY,13862,0249,42.352978,-75.937096,14,123,51
    120,031401060004,WHITNEY POINT SHS,   0,KEIBEL RD,WHITNEY POINT,NY,13862,0249,42.352978,-75.937096,15,123,51
    121,031401060005,CARYL E. ADAMS PRIMARY SCHOOL,   0,KEIBEL RD,WHITNEY POINT,NY,13862,0249,42.352978,-75.937096,15,123,51
    122,031501060001,"CHARLES F. JOHNSON, JR. ES",   1,715 PADEN ST,ENDICOTT,NY,13760,4595,42.093903,-76.079041,B1,123,51
    123,031501060005,GEORGE W. JOHNSON ES,   1,201 HILL AVE,ENDICOTT,NY,13760,2997,42.111476,-76.048144,B1,123,51
    124,031501060006,GEORGE H. NICHOLS ES,   1,401 HAYES AVE,ENDICOTT,NY,13760,3198,42.114399,-76.039857,B1,123,51
    125,031501060009,JENNIE F. SNAPP MS,   0,101 LODER AVE,ENDICOTT,NY,13760,4899,42.110665,-76.054162,15,123,51
    126,031501060011,LINNAEUS W. WEST PRIMARY SCHOO,   0,1201 UNION CTR-MNE HW,ENDICOTT,NY,13670,2045,44.174356,-75.097167,14,112,47
    127,031501060012,UNION ENDICOTT HS,   0,1200 E MAIN ST,ENDICOTT,NY,13760,5271,42.098922,-76.048309,B1,123,51
    128,031501060013,"THOMAS J. WATSON, SR. ES",   1,263 RIDGEFIELD RD,ENDICOTT,NY,13760,4299,42.077268,-76.123984,B1,123,51
    129,031501060014,ANN G. MCGUINNESS IS,   1,1301 UNION CTR-MNE HW,ENDICOTT,NY,13760,1334,42.110665,-76.054162,14,123,51
    130,031502060001,LINCOLN ES,   1,24 CHERRY ST,JOHNSON CITY,NY,13790,2696,42.110222,-75.955335,B1,123,51
    131,031502060003,HARRY L. JOHNSON SCHOOL,   1,235 HARRY L. DR,JOHNSON CITY,NY,13790,1598,42.123289,-75.956949,B1,123,51
    132,031502060005,C. FRED JOHNSON MS,   0,100 ALBERT ST,JOHNSON CITY,NY,13790,1992,42.114136,-75.963361,B1,123,51
    133,031502060006,JOHNSON CITY SHS,   0,666 REYNOLDS RD,JOHNSON CITY,NY,13790,1398,42.134291,-75.971629,B1,123,51
    134,031601060021,AFRICAN ROAD ES,   1,600 S BENITA BLVD,VESTAL,NY,13850,2698,42.088783,-76.014436,B1,124,51
    135,031601060022,CLAYTON AVE ES,   1,209 CLAYTON AVE,VESTAL,NY,13850,2492,42.086228,-76.049171,B1,124,51
    136,031601060023,GLENWOOD ES,   1,337 JONES RD,VESTAL,NY,13850,3296,42.065364,-76.044838,B1,124,51
    137,031601060026,TIOGA HILLS ES,   1,40-48 GLANN RD,APALACHIN,NY,13732,4013,42.057788,-76.125541,B1,123,51
    138,031601060028,VESTAL HILLS ES,   1,709 COUNTRY CLUB RD,VESTAL,NY,13850,3911,42.085298,-75.953661,B1,124,51
    139,031601060041,VESTAL MS,   0,600 S BENITA BLVD,VESTAL,NY,13850,2698,42.088783,-76.014436,B1,124,51
    140,031601060051,VESTAL SHS,   0,205 WOODLAWN DR,VESTAL,NY,13850,2491,42.085445,-76.052788,B1,124,51
    141,031701060002,FLOYD BELL ES,   1,15 GOLDEN ST,KIRKWOOD,NY,13795,1442,42.075490,-75.807630,B1,124,51
    142,031701060003,C.R. WEEKS ES,   1,440 FOLEY RD,WINDSOR,NY,13865,1007,42.100918,-75.778064,B1,124,51
    143,031701060004,A.F. PALMER ES / WINDSOR CENTR,   1,213 MAIN ST,WINDSOR,NY,13865,4134,42.081937,-75.639676,B1,124,51
    144,031701060007,WINDSOR CENTRAL HS,   0,1191 N Y RT 79,WINDSOR,NY,13865,4134,42.076746,-75.656641,14,124,51
    145,040204040001,WEST VALLEY CENTRAL SCHOOL,   1,5359 SCHOOL ST,WEST VALLEY,NY,14171,0290,42.405467,-78.610278,B1,147,56
    146,040302060001,ALLEGANY-LIMESTONE MHS,   0,80 N FOURTH ST,ALLEGANY,NY,14706,1015,42.094171,-78.495516,B1,149,56
    147,040302060002,ALLEGANY ES,   1,MAPLE AVE,ALLEGANY,NY,14706,1015,42.099619,-78.500142,15,149,56
    148,040302060003,LIMESTONE ES,   1,100 MAIN ST,LIMESTONE,NY,14753,0000,42.036071,-78.609760,15,149,56
    149,040901040001,ELLICOTTVILLE ES,   1,5873 RT 219,ELLICOTTVILLE,NY,14731,9719,42.309054,-78.651928,15,147,56
    150,040901040003,ELLICOTTVILLE MIDDLE-HIGH SCHO,   0,5873 RT 219,ELLICOTTVILLE,NY,14731,9719,42.309054,-78.651928,15,147,56
    151,041101040002,FRANKLINVILLE JSHS,   0,31 N MAIN ST,FRANKLINVILLE,NY,14737,1097,42.339775,-78.457024,B1,149,56
    152,041101040003,FRANKLINVILLE ES,   1,32 N MAIN ST,FRANKLINVILLE,NY,14737,1096,42.339821,-78.456975,B1,149,56
    153,041401040001,HINSDALE CENTRAL SCHOOL,   1,3701 MAIN ST,HINSDALE,NY,14743,0278,42.168076,-78.387097,B1,149,56
    154,041801040001,LITTLE VALLEY CENTRAL SCHOOL,   1,207 ROCK CITY ST,LITTLE VALLEY,NY,14755,1298,42.248041,-78.795967,B1,149,56
    155,042301040001,CATTARAUGUS ES,   1,25 FRANKLIN ST N,CATTARAUGUS,NY,14719,1199,42.333835,-78.861929,B1,149,56
    156,042301040002,CATTARAUGUS HS,   0,25 FRANKLIN ST N,CATTARAUGUS,NY,14719,1199,42.333835,-78.861929,B1,149,56
    157,042400010002,WASHINGTON WEST ES,   1,1626 WASHINGTON ST,OLEAN,NY,14760,1935,42.079861,-78.448890,B1,149,56
    158,042400010004,EAST VIEW ES,   1,690 EAST SPRING ST,OLEAN,NY,14760,2999,42.082627,-78.414483,B1,149,56
    159,042400010005,BOARDMANVILLE ES,   1,622 MAIN ST,OLEAN,NY,14760,1516,42.091208,-78.426293,B1,149,56
    160,042400010010,IVERS J. NORTON ES,   1,411 W HENLEY ST,OLEAN,NY,14760,3596,42.075505,-78.434199,B1,149,56
    161,042400010013,OLEAN SHS,   0,410 W SULLIVAN ST,OLEAN,NY,14760,2596,42.081484,-78.434256,B1,149,56
    162,042400010015,NORTH HILL ES,   1,102 WEST FOREST AVE,OLEAN,NY,14760,1202,42.091856,-78.434750,B1,149,56
    163,042400010016,OLEAN MS,   0,420 N 7TH ST,OLEAN,NY,14760,2330,42.083807,-78.438927,B1,149,56
    164,042801060001,ALDRICH STREET ES,   0,24 PROSPECT ST,GOWANDA,NY,14070,1384,42.463666,-78.947114,B1,147,56
    165,042801060002,GOWANDA ES,   1,24 PROSPECT ST,GOWANDA,NY,14070,1384,42.463666,-78.947114,B1,147,56
    166,042801060006,GOWANDA JSHS,   0,24 PROSPECT ST,GOWANDA,NY,14070,1384,42.463666,-78.947114,B1,147,56
    167,042901040001,PORTVILLE ES,   1,ELM ST,PORTVILLE,NY,14770,9791,42.054566,-78.311485,15,149,56
    168,042901040002,PORTVILLE JSHS,   0,ELM ST,PORTVILLE,NY,14770,9791,42.054566,-78.311485,15,149,56
    169,043001040002,RANDOLPH JSHS,   0,18 MAIN ST,RANDOLPH,NY,14772,1188,42.165439,-78.964084,B1,149,56
    170,043001040003,G.N. CHAPMAN ES,   1,22 MAIN ST,RANDOLPH,NY,14772,1188,42.165394,-78.964152,B1,149,56
    171,043011020001,RANDOLPH ACAD,   0,336 MAIN STREET-E R,RANDOLPH,NY,14772,9696,42.161549,-78.978000,14,149,56
    172,043200050002,SALAMANCA HS,   0,50 IROQUOIS DR,SALAMANCA,NY,14779,1398,42.160095,-78.736570,B1,149,56
    173,043200050004,PROSPECT ES,   0,300 PROSPECT AVE,SALAMANCA,NY,14779,1299,42.153647,-78.723189,15,149,56
    174,043200050005,SENECA ES,   1,25 CENTER ST,SALAMANCA,NY,14779,1396,42.156317,-78.741000,B1,149,56
    175,043200050006,SALAMANCA MS,   0,50 IROQUOIS DR,SALAMANCA,NY,14779,1398,42.160095,-78.736570,B1,149,56
    176,043501060001,DELEVAN ES,   1,SCHOOL ST,DELEVAN,NY,14042,0217,42.467097,-78.521689,15,147,56
    177,043501060004,PIONEER MS,   0,OLD OLEAN RD,YORKSHIRE,NY,14173,0619,42.529497,-78.478125,18,147,56
    178,043501060005,ARCADE ES,   1,CHURCH ST,ARCADE,NY,14009,0327,42.551581,-78.426466,15,147,59
    179,043501060006,PIONEER SHS,   0,BOX 619 CNTY LINE RD,YORKSHIRE,NY,14173,0619,42.529497,-78.478125,18,147,56
    180,050100010002,CASEY PARK ES,   1,PULASKI ST,AUBURN,NY,13021,1797,42.924088,-76.563057,15,126,53
    181,050100010004,GENESEE STREET ES,   1,242 W GENESEE ST,AUBURN,NY,13021,3298,42.924088,-76.563057,15,126,53
    182,050100010005,HERMAN AVE ES,   1,2 N HERMAN AVE,AUBURN,NY,13021,2998,42.933939,-76.544129,B1,126,53
    183,050100010007,OWASCO ES,   1,LETCHWORTH ST,AUBURN,NY,13021,5355,42.924088,-76.563057,15,126,53
    184,050100010008,WILLIAM H. SEWARD ES,   1,50 METCALF DR,AUBURN,NY,13021,4900,42.916563,-76.559579,B1,126,53
    185,050100010009,EAST MS,   0,159 FRANKLIN ST,AUBURN,NY,13021,2997,42.935631,-76.559429,B1,126,53
    186,050100010012,WEST MS,   0,217 W GENESEE ST,AUBURN,NY,13021,3299,42.924088,-76.563057,15,126,53
    187,050100010013,AUBURN HS,   0,200 LAKE AVE,AUBURN,NY,13021,5695,42.913414,-76.553470,B1,126,53
    188,050301040002,WEEDSPORT JSHS,   0,2821 E BRUTUS ST,WEEDSPORT,NY,13166,9105,43.047584,-76.555364,B1,126,53
    189,050301040003,WEEDSPORT ES,   1,8954 JACKSON ST,WEEDSPORT,NY,13166,9105,43.050771,-76.559195,B1,126,53
    190,050401040001,CATO-MERIDIAN ES,   1,11550 N Y S RT 370,CATO,NY,13033,0100,43.172602,-76.562801,14,126,53
    191,050401040002,CATO-MERIDIAN MS,   0,11550 N Y S RT 370,CATO,NY,13033,0100,43.172602,-76.562801,14,126,53
    192,050401040003,CATO-MERIDIAN SHS,   0,11550 N Y S  RT 370,CATO,NY,13033,0100,43.172602,-76.562801,14,126,53
    193,050701040005,SOUTHERN CAYUGA HS,   0,RT 34B,POPLAR RIDGE,NY,13139,9770,42.738434,-76.617728,18,126,53
    194,050701040006,SOUTHERN CAYUGA ES - HOWLAND B,   0,2892 RT 34B,AURORA,NY,13026,9771,42.735511,-76.665163,14,126,53
    195,050701040007,SOUTHERN CAYUGA MS,   1,RT 34B,POPLAR RIDGE,NY,13139,0046,42.738434,-76.617728,18,126,53
    196,051101040001,A.A. GATES ES,   1,30 MAPLE AVE,PORT BYRON,NY,13140,9647,43.017110,-76.665003,15,126,53
    197,051101040003,PORT BYRON MS,   0,30 MAPLE AVE,PORT BYRON,NY,13140,9647,43.017110,-76.665003,15,126,53
    198,051101040004,PORT BYRON SHS,   0,30 MAPLE AVE,PORT BYRON,NY,13140,9647,43.017110,-76.665003,15,126,53
    199,051301040001,MILLARD FILLMORE ES,   1,50 S MAIN ST,MORAVIA,NY,13118,1189,42.719862,-76.424357,15,126,53
