Reg	County	DOT ID	Route	Co Rd	Name	From	To	Co Ordr	Beg	End	Length	Muni Code	Muni Type	Municipality	Jurisdiction	FC	UAC	NHS	Overlap #	Olap rank	HPMS	SH No	Lanes	Pvmnt	Divided	One Way	Pkwy	Grouped	Svce Rd	Disc	Station	AADT	AADT Yr
4	MONROE	100358	I390			CITY OF ROCHESTER	PARK BRIDGE OVER NO CONN	3	15.41	15.49	0.08	2048	City	Rochester	01 NYSDOT	11	75664	1				77-39	6	O	Y						237	75700	2008
4	MONROE	100358	I390			PARK BRIDGE OVER NO CONN		3	15.49	15.63	0.14	2048	City	Rochester	01 NYSDOT	11	75664	1				77-39	6	O	Y						237	75700	2008
4	MONROE	100358	I390				GENESEE RIVER UNDER	3	15.63	15.94	0.31	2048	City	Rochester	01 NYSDOT	11	75664	1				77-39	6	C	Y						237	75700	2008
4	MONROE	100358	I390			GENESEE RIVER UNDER	ROCHESTER CL / CHILI TL	3	15.94	16.04	0.1	2048	City	Rochester	01 NYSDOT	11	75664	1				77-39	6	C	Y						237	75700	2008
4	MONROE	100358	I390			ROCHESTER CL / CHILI TL	EXIT 17 RT 383	3	16.04	16.13	0.09	160	Town	Chili	01 NYSDOT	11	75664	1				77-39	6	O	Y						237	75700	2008
4	MONROE	100023	NY104			RAMP FROM MAPLEWOOD DR		3	19.67	19.72	0.05	2048	City	Rochester	01 NYSDOT	12	75664	1				73-11	6	A	Y						132	76100	2009
4	MONROE	100023	NY104					3	19.72	19.79	0.07	2048	City	Rochester	01 NYSDOT	12	75664	1				73-11	6	A	Y						132	76100	2009
4	MONROE	100023	NY104				ST. PAUL ST OVER	3	19.79	19.97	0.18	2048	City	Rochester	01 NYSDOT	12	75664	1				68-8	8	A	Y						132	76100	2009
4	MONROE	100359	NY390			RT 390I & RT 490I JCT	RT 31	1	0	0.6	0.6	316	Town	Gates	01 NYSDOT	12	75664	1			3008198	60-26	4	O	Y						585	76600	2009
4	MONROE	100358	I390			EXIT 14 RTS 15A & 252	RT 252 UNDER W/CONNECTIONS - EXIT 14	3	11.44	11.72	0.28	388	Town	Henrietta	01 NYSDOT	11	75664	1				77-23	6	A	Y						224	76700	2006
4	MONROE	100358	I390			RT 252 UNDER W/CONNECTIONS - EXIT 14		3	11.72	12.13	0.41	388	Town	Henrietta	01 NYSDOT	11	75664	1				77-23	6	A	Y						224	76700	2006
4	MONROE	100358	I390				RAILROAD OVER	3	12.13	12.14	0.01	388	Town	Henrietta	01 NYSDOT	11	75664	1				77-23	8	O	Y						224	76700	2006
4	MONROE	100358	I390			RAILROAD OVER	BRIGHTON - HENRIETTA TOWN LINE	3	12.14	12.28	0.14	388	Town	Henrietta	01 NYSDOT	11	75664	1				77-23	8	O	Y						224	76700	2006
4	MONROE	100358	I390			BRIGHTON - HENRIETTA TOWN LINE		3	12.28	12.97	0.69	92	Town	Brighton	01 NYSDOT	11	75664	1				77-23	8	O	Y						224	76700	2006
4	MONROE	100358	I390				BARGE CANAL UNDER	3	12.97	13.01	0.04	92	Town	Brighton	01 NYSDOT	11	75664	1				77-23	8	A	Y						224	76700	2006
4	MONROE	100358	I390			BARGE CANAL UNDER	RT 590I JUNCTION EXIT 15	3	13.01	13.11	0.1	92	Town	Brighton	01 NYSDOT	11	75664	1				77-23	8	A	Y						224	76700	2006
4	MONROE	100443	I590			WINTON RD UNDER WITH CONN		1	1.3	1.63	0.33	92	Town	Brighton	01 NYSDOT	11	75664	1				78-7	6	O	Y						52	78800	2007
4	MONROE	100443	I590					1	1.63	1.66	0.03	92	Town	Brighton	01 NYSDOT	11	75664	1				78-7	6	C	Y						52	78800	2007
4	MONROE	100443	I590					1	1.66	1.83	0.17	92	Town	Brighton	01 NYSDOT	11	75664	1				65-12	6	O	Y						52	78800	2007
