name	BEDS Code	Enrollment	District	County
Achievement Academy Charter School	10100860876	252		ALBANY
Albany Community Charter School	10100860899	296		ALBANY
Albany Leadership Charter High School For Girls	10100860960	150		ALBANY
Albany Preparatory Charter School	10100860884	214		ALBANY
Brighter Choice Charter Middle School For Boys	10100860976	50		ALBANY
Brighter Choice Charter Middle School For Girls	10100860977	42		ALBANY
Brighter Choice Charter School For Boys	10100860829	255		ALBANY
Brighter Choice Charter School For Girls	10100860830	247		ALBANY
Green Tech High Charter School	10100860907	263		ALBANY
Henry Johnson Charter School	10100860892	366		ALBANY
Kipp Tech Valley Charter School	10100860867	286		ALBANY
Albany High School	10100010034	2507	Albany City School District	ALBANY
Albany School Of Humanities	10100010023	562	Albany City School District	ALBANY
Arbor Hill Elementary School	10100010039	414	Albany City School District	ALBANY
Delaware Community School	10100010018	418	Albany City School District	ALBANY
Eagle Point Elementary School	10100010027	297	Albany City School District	ALBANY
Giffen Memorial Elementary School	10100010029	453	Albany City School District	ALBANY
Montessori Magnet School	10100010014	326	Albany City School District	ALBANY
New Scotland Elementary School	10100010019	484	Albany City School District	ALBANY
North Albany Academy	10100010020	407	Albany City School District	ALBANY
Philip J Schuyler Achievement Academy	10100010043	359	Albany City School District	ALBANY
Pine Hills Elementary School	10100010016	390	Albany City School District	ALBANY
Sheridan Preparatory Academy	10100010044	423	Albany City School District	ALBANY
Stephen And Harriet Myers Middle School	10100010045	661	Albany City School District	ALBANY
Thomas S O'Brien Academy Of Science & Technology	10100010028	451	Albany City School District	ALBANY
William S Hackett Middle School	10100010030	576	Albany City School District	ALBANY
Berne-Knox-Westerlo Elementary School	10201040002	419	Berne-Knox-Westerlo Central School District	ALBANY
Berne-Knox-Westerlo Junior-Senior High School	10201040001	535	Berne-Knox-Westerlo Central School District	ALBANY
Bethlehem Central Middle School	10306060007	1193	Bethlehem Central School District	ALBANY
Bethlehem Central Senior High School	10306060008	1695	Bethlehem Central School District	ALBANY
Clarksville Elementary School	10306060001	203	Bethlehem Central School District	ALBANY
Eagle Elementary School	10306060009	399	Bethlehem Central School District	ALBANY
Elsmere Elementary School	10306060003	282	Bethlehem Central School District	ALBANY
Glenmont Elementary School	10306060004	370	Bethlehem Central School District	ALBANY
Hamagrael Elementary School	10306060005	398	Bethlehem Central School District	ALBANY
Slingerlands Elementary School	10306060006	451	Bethlehem Central School District	ALBANY
Abram Lansing School	10500010005	407	Cohoes City School District	ALBANY
Cohoes High School	10500010007	636	Cohoes City School District	ALBANY
Cohoes Middle School	10500010008	423	Cohoes City School District	ALBANY
Harmony Hill School	10500010009	391	Cohoes City School District	ALBANY
Van Schaick Island School	10500010006	147	Cohoes City School District	ALBANY
Heatly School	10701030001	304	Green Island Union Free School District	ALBANY
Altamont Elementary School	10802060001	303	Guilderland Central School District	ALBANY
Farnsworth Middle School	10802060008	1236	Guilderland Central School District	ALBANY
Guilderland Elementary School	10802060003	559	Guilderland Central School District	ALBANY
Guilderland High School	10802060005	1815	Guilderland Central School District	ALBANY
Lynnwood Elementary School	10802060007	434	Guilderland Central School District	ALBANY
Pine Bush Elementary School	10802060009	448	Guilderland Central School District	ALBANY
Westmere Elementary School	10802060004	440	Guilderland Central School District	ALBANY
Menands School	10615020001	243	Menands Union Free School District	ALBANY
Blue Creek School	10623060002	460	North Colonie Csd	ALBANY
Boght Hills School	10623060003	436	North Colonie Csd	ALBANY
Forts Ferry School	10623060004	464	North Colonie Csd	ALBANY
Latham Ridge School	10623060006	371	North Colonie Csd	ALBANY
Loudonville School	10623060007	304	North Colonie Csd	ALBANY
Maplewood School	10623060001	109	North Colonie Csd	ALBANY
Shaker High School	10623060010	2066	North Colonie Csd	ALBANY
Shaker Junior High School	10623060009	893	North Colonie Csd	ALBANY
Southgate School	10623060008	422	North Colonie Csd	ALBANY
Albertus W Becker School	10402060002	473	Ravena-Coeymans-Selkirk Central School District	ALBANY
Pieter B Coeymans School	10402060003	466	Ravena-Coeymans-Selkirk Central School District	ALBANY
Ravena-Coeymans-Selkirk Middle School	10402060008	463	Ravena-Coeymans-Selkirk Central School District	ALBANY
Ravena-Coeymans-Selkirk Senior High School	10402060001	639	Ravena-Coeymans-Selkirk Central School District	ALBANY
Colonie Central High School	10601060008	1881	South Colonie Central School District	ALBANY
Forest Park Elementary School	10601060010	354	South Colonie Central School District	ALBANY
Lisha Kill Middle School	10601060013	700	South Colonie Central School District	ALBANY
Roessleville School	10601060003	432	South Colonie Central School District	ALBANY
Saddlewood Elementary School	10601060005	396	South Colonie Central School District	ALBANY
Sand Creek Middle School	10601060012	869	South Colonie Central School District	ALBANY
Shaker Road Elementary School	10601060006	285	South Colonie Central School District	ALBANY
Veeder Elementary School	10601060011	460	South Colonie Central School District	ALBANY
Clayton A Bouton High School	11003060002	386	Voorheesville Central School District	ALBANY
Voorheesville Elementary School	11003060001	530	Voorheesville Central School District	ALBANY
Voorheesville Middle School	11003060003	292	Voorheesville Central School District	ALBANY
Watervliet Elementary School	11200010002	751	Watervliet City School District	ALBANY
Watervliet Junior-Senior High School	11200010010	674	Watervliet City School District	ALBANY
New Covenant Charter School	10100860005	653		ALBANY
Brighter Choice School For Girls	10100860830	226		ALBANY
Ravena Senior High School	10402060001	673	Ravena-Coeymans-Selkirk Central School District	ALBANY
Ravena Middle School	10402060008	490	Ravena-Coeymans-Selkirk Central School District	ALBANY
C A Bouton Middle School High School	11003060002	692	Voorheesville Central School District	ALBANY
Genesee Community Charter School At The Rochester Museum	261600860826	210		ALBANY
Philip Livingston Magnet Academy	10100010031	341	Albany City School District	ALBANY
Blue Creek School	10605060002	382	North Colonie Central School District	ALBANY
Boght Hills School	10605060003	425	North Colonie Central School District	ALBANY
Forts Ferry School	10605060004	389	North Colonie Central School District	ALBANY
Latham Ridge School	10605060006	370	North Colonie Central School District	ALBANY
Loudonville School	10605060007	277	North Colonie Central School District	ALBANY
Southgate School	10605060008	355	North Colonie Central School District	ALBANY
Shaker Junior High School	10605060009	790	North Colonie Central School District	ALBANY
Shaker High School	10605060010	1707	North Colonie Central School District	ALBANY
Maplewood School	10622080001	132	Maplewood Common School District	ALBANY
Sankofa Charter School	140600860857	181		ALBANY
		0		ALBANY
School 19	10100010019	495	Albany City School District	ALBANY
Ark Community Charter School (The)	491700860034	179	N/A	ALBANY
International Charter School Of Schenectady	530515860813	538	N/A	ALBANY
Alfred-Almond Elementary School	20101040001	338	Alfred-Almond Central School District	ALLEGANY
Alfred-Almond Junior-Senior High School	20101040002	302	Alfred-Almond Central School District	ALLEGANY
Andover School	20601040001	379	Andover Central School District	ALLEGANY
Belfast School	20801040001	375	Belfast Central School District	ALLEGANY
Bolivar-Richburg Elementary School	22902040002	370	Bolivar-Richburg Central School District	ALLEGANY
Bolivar-Richburg Junior-Senior High School	22902040001	455	Bolivar-Richburg Central School District	ALLEGANY
Bolivar-Richburg Pre-K Program	22902040003	54	Bolivar-Richburg Central School District	ALLEGANY
Canaseraga School	21102040001	286	Canaseraga Central School District	ALLEGANY
Cuba-Rushford Elementary School	22302040002	347	Cuba-Rushford Central School District	ALLEGANY
Cuba-Rushford High School	22302040001	304	Cuba-Rushford Central School District	ALLEGANY
Cuba-Rushford Middle School	22302040004	210	Cuba-Rushford Central School District	ALLEGANY
Rushford Elementary School	22302040003	80	Cuba-Rushford Central School District	ALLEGANY
Fillmore Central School	22001040001	709	Fillmore Central School District	ALLEGANY
Friendship Central School	21601040004	395	Friendship Central School District	ALLEGANY
Genesee Valley Central School	20702040001	660	Genesee Valley Central School District At Angelica-Belmont	ALLEGANY
Scio Central School	22401040003	419	Scio Central School District	ALLEGANY
Wellsville Elementary School	22601060005	637	Wellsville Central School District	ALLEGANY
Wellsville Middle School	22601060002	291	Wellsville Central School District	ALLEGANY
Wellsville Senior High School	22601060004	438	Wellsville Central School District	ALLEGANY
Whitesville Central School	22101040001	300	Whitesville Central School District	ALLEGANY
Cuba Elementary School	22302040002	374	Cuba-Rushford Central School District	ALLEGANY
Genesee Valley Elementary School	20702040001	271	Genesee Valley Central School District At Angelica-Belmont	ALLEGANY
Genesee Valley Middle School	20702040002	192	Genesee Valley Central School District At Angelica-Belmont	ALLEGANY
Genesee Valley High School	20702040003	221	Genesee Valley Central School District At Angelica-Belmont	ALLEGANY
Benjamin Franklin Elementary School	30200010005	490	Binghamton City School District	BROOME
Binghamton High School	30200010021	1603	Binghamton City School District	BROOME
Calvin Coolidge School	30200010002	369	Binghamton City School District	BROOME
East Middle School	30200010015	559	Binghamton City School District	BROOME
Horace Mann School	30200010022	372	Binghamton City School District	BROOME
Macarthur School	30200010011	539	Binghamton City School District	BROOME
Theodore Roosevelt School	30200010012	403	Binghamton City School District	BROOME
Thomas Jefferson School	30200010008	345	Binghamton City School District	BROOME
West Middle School	30200010016	692	Binghamton City School District	BROOME
Woodrow Wilson School	30200010014	447	Binghamton City School District	BROOME
Chenango Forks Elementary School	30101060001	383	Chenango Forks Central School District	BROOME
Chenango Forks High School	30101060003	513	Chenango Forks Central School District	BROOME
Chenango Forks Middle School	30101060004	366	Chenango Forks Central School District	BROOME
John R Harshaw Primary School	30101060002	393	Chenango Forks Central School District	BROOME
Chenango Bridge Elementary School	30701060003	452	Chenango Valley Central School District	BROOME
Chenango Valley High School	30701060001	538	Chenango Valley Central School District	BROOME
Chenango Valley Middle School	30701060005	253	Chenango Valley Central School District	BROOME
Port Dickinson Elementary School	30701060004	572	Chenango Valley Central School District	BROOME
Deposit Elementary School	31301040002	284	Deposit Central School District	BROOME
Deposit Middle-Senior High School	31301040003	302	Deposit Central School District	BROOME
Harpursville Junior-Senior High School	30501040003	388	Harpursville Central School District	BROOME
W A Olmsted Elementary School	30501040001	510	Harpursville Central School District	BROOME
Johnson City Elementary/Intermediate School	31502060001	593	Johnson City Central School District	BROOME
Johnson City Elementary/Primary School	31502060003	589	Johnson City Central School District	BROOME
Johnson City Middle School	31502060005	594	Johnson City Central School District	BROOME
Johnson City Senior High School	31502060006	782	Johnson City Central School District	BROOME
Homer Brink School	31101060003	675	Maine-Endwell Central School District	BROOME
Maine Memorial School	31101060004	514	Maine-Endwell Central School District	BROOME
Maine-Endwell Middle School	31101060005	566	Maine-Endwell Central School District	BROOME
Maine-Endwell Senior High School	31101060006	813	Maine-Endwell Central School District	BROOME
Brookside Elementary School	30601060001	381	Susquehanna Valley Central School District	BROOME
F P Donnelly School	30601060004	309	Susquehanna Valley Central School District	BROOME
Richard T Stank Middle School	30601060005	431	Susquehanna Valley Central School District	BROOME
Susquehanna Valley Senior High School	30601060006	561	Susquehanna Valley Central School District	BROOME
Ann G Mcguinness Elementar School	31501060014	372	Union-Endicott Central School District	BROOME
Charles F Johnson Jr Elementary School	31501060001	380	Union-Endicott Central School District	BROOME
George F Johnson Elementary School	31501060002	672	Union-Endicott Central School District	BROOME
Jennie F Snapp Middle School	31501060009	618	Union-Endicott Central School District	BROOME
Linnaeus W West Primary School	31501060011	370	Union-Endicott Central School District	BROOME
Thomas J Watson Sr Elementary School	31501060013	297	Union-Endicott Central School District	BROOME
Union Endicott High School	31501060012	1298	Union-Endicott Central School District	BROOME
African Road Elementary School	31601060021	283	Vestal Central School District	BROOME
Clayton Avenue Elementary School	31601060022	328	Vestal Central School District	BROOME
Glenwood Elementary School	31601060023	302	Vestal Central School District	BROOME
Tioga Hills Elementary School	31601060026	346	Vestal Central School District	BROOME
Vestal Hills Elementary School	31601060028	316	Vestal Central School District	BROOME
Vestal Middle School	31601060041	897	Vestal Central School District	BROOME
Vestal Senior High School	31601060051	1212	Vestal Central School District	BROOME
Caryl E Adams Primary School	31401060005	448	Whitney Point Central School District	BROOME
Tioughnioga Riverside Academy	31401060002	583	Whitney Point Central School District	BROOME
Whitney Point Senior High School	31401060004	438	Whitney Point Central School District	BROOME
A F Palmer Elementary School / Windsor Central Middle School	31701060004	696	Windsor Central School District	BROOME
C R Weeks Elementary School	31701060003	278	Windsor Central School District	BROOME
Floyd Bell Elementary School	31701060002	313	Windsor Central School District	BROOME
Windsor Central High School	31701060007	612	Windsor Central School District	BROOME
Charlotte Kenyon Elementary School	30101060001	367	Chenango Forks Central School District	BROOME
Ann G Mcguinness Intermediate School	31501060014	243	Union-Endicott Central School District	BROOME
Whitney Point Intermediate School	31401060001	254	Whitney Point Central School District	BROOME
Whitney Point Middle School	31401060002	351	Whitney Point Central School District	BROOME
Allegany-Limestone Elementary School	40302060002	608	Allegany-Limestone Central School District	CATTARAUGUS
Allegany-Limestone High School	40302060001	405	Allegany-Limestone Central School District	CATTARAUGUS
Allegany-Limestone Middle School	40302060004	281	Allegany-Limestone Central School District	CATTARAUGUS
Cattaraugus-Little Valley High School	42302040003	344	Cattaraugus-Little Valley Central School District	CATTARAUGUS
Cattaraugus-Little Valley Intermediate School	42302040001	213	Cattaraugus-Little Valley Central School District	CATTARAUGUS
Cattaraugus-Little Valley Middle School	42302040004	245	Cattaraugus-Little Valley Central School District	CATTARAUGUS
Cattaraugus-Little Valley Primary School	42302040002	246	Cattaraugus-Little Valley Central School District	CATTARAUGUS
Ellicottville Elementary School	40901040001	310	Ellicottville Central School District	CATTARAUGUS
Ellicottville Middle School High School	40901040002	284	Ellicottville Central School District	CATTARAUGUS
Franklinville Elementary School	41101040003	396	Franklinville Central School District	CATTARAUGUS
Franklinville Junior-Senior High School	41101040002	360	Franklinville Central School District	CATTARAUGUS
Gowanda Elementary School	42801060001	520	Gowanda Central School District	CATTARAUGUS
Gowanda High School	42801060006	436	Gowanda Central School District	CATTARAUGUS
Gowanda Middle School	42801060005	427	Gowanda Central School District	CATTARAUGUS
Hinsdale Central School	41401040001	440	Hinsdale Central School District	CATTARAUGUS
Boardmanville Elementary School	42400010005	247	Olean City School District	CATTARAUGUS
East View Elementary School	42400010004	338	Olean City School District	CATTARAUGUS
Ivers J Norton Elementary School	42400010010	261	Olean City School District	CATTARAUGUS
Olean Intermediate-Middle School	42400010016	534	Olean City School District	CATTARAUGUS
Olean Senior High School	42400010013	625	Olean City School District	CATTARAUGUS
Washington West Elementary School	42400010002	387	Olean City School District	CATTARAUGUS
Portville Elementary School	42901040001	532	Portville Central School District	CATTARAUGUS
Portville Junior-Senior High School	42901040002	418	Portville Central School District	CATTARAUGUS
Randolph Academy	43011020001	82	Randolph Academy Union Free School District	CATTARAUGUS
G N Chapman Elementary School	43001040003	545	Randolph Central School District	CATTARAUGUS
Randolph Senior High School	43001040002	457	Randolph Central School District	CATTARAUGUS
Prospect Elementary School	43200050004	395	Salamanca City School District	CATTARAUGUS
Salamanca Alternative School	43200050007	52	Salamanca City School District	CATTARAUGUS
Salamanca Junior/Senior High School	43200050002	341	Salamanca City School District	CATTARAUGUS
Salamanca Middle School	43200050006	304	Salamanca City School District	CATTARAUGUS
Seneca Elementary School	43200050005	297	Salamanca City School District	CATTARAUGUS
West Valley Central School	40204040001	350	West Valley Central School District	CATTARAUGUS
Arcade Elementary School	43501060005	581	Yorkshire-Pioneer Central School District	CATTARAUGUS
Delevan Elementary School	43501060001	445	Yorkshire-Pioneer Central School District	CATTARAUGUS
Pioneer Middle School	43501060004	743	Yorkshire-Pioneer Central School District	CATTARAUGUS
Pioneer Senior High School	43501060006	775	Yorkshire-Pioneer Central School District	CATTARAUGUS
Limestone Elementary School	40302060003	68	Allegany-Limestone Central School District	CATTARAUGUS
Allegany Elementary School	40302060002	542	Allegany-Limestone Central School District	CATTARAUGUS
Olean Middle School	42400010016	547	Olean City School District	CATTARAUGUS
Salamanca High School	43200050002	340	Salamanca City School District	CATTARAUGUS
Little Valley Campus Elementary School	42302040001	199	Cattaraugus-Little Valley Central School District	CATTARAUGUS
Cattaraugus Campus Elementary School	42302040002	244	Cattaraugus-Little Valley Central School District	CATTARAUGUS
Randolph Middle School	43001040001	310	Randolph Central School District	CATTARAUGUS
Auburn High School	50100010013	1360	Auburn City School District	CAYUGA
Auburn Junior High School	50100010009	455	Auburn City School District	CAYUGA
Casey Park Elementary School	50100010002	458	Auburn City School District	CAYUGA
Genesee Street Elementary School	50100010004	305	Auburn City School District	CAYUGA
Herman Avenue Elementary School	50100010005	402	Auburn City School District	CAYUGA
Owasco Elementary School	50100010007	342	Auburn City School District	CAYUGA
West Middle School	50100010012	505	Auburn City School District	CAYUGA
William H Seward Elementary School	50100010008	471	Auburn City School District	CAYUGA
Cato-Meridian Elementary School	50401040001	380	Cato-Meridian Central School District	CAYUGA
Cato-Meridian Middle School	50401040002	325	Cato-Meridian Central School District	CAYUGA
Cato-Meridian Senior High School	50401040003	338	Cato-Meridian Central School District	CAYUGA
Millard Fillmore Elementary School	51301040001	469	Moravia Central School District	CAYUGA
Moravia Junior-Senior High School	51301040003	518	Moravia Central School District	CAYUGA
A A Gates Elementary School	51101040001	576	Port Byron Central School District	CAYUGA
Port Byron Senior High School	51101040004	476	Port Byron Central School District	CAYUGA
Emily Howland Elementary School	50701040007	225	Southern Cayuga Central School District	CAYUGA
Southern Cayuga  7-12 Secondary School	50701040005	240	Southern Cayuga Central School District	CAYUGA
Southern Cayuga Elementary School-Howland Building	50701040006	313	Southern Cayuga Central School District	CAYUGA
Andrew J Smith Elementary School	51901040002	206	Union Springs Central School District	CAYUGA
Cayuga Elementary School	51901040003	246	Union Springs Central School District	CAYUGA
Union Springs Middle School High School	51901040005	428	Union Springs Central School District	CAYUGA
Weedsport Elementary School	50301040003	453	Weedsport Central School District	CAYUGA
Weedsport Junior-Senior High School	50301040002	403	Weedsport Central School District	CAYUGA
Southern Cayuga Elementary School	50701040007	230	Southern Cayuga Central School District	CAYUGA
East Middle School	50100010009	501	Auburn City School District	CAYUGA
Southern Cayuga High School	50701040005	278	Southern Cayuga Central School District	CAYUGA
Southern Cayuga Middle School	50701040007	225	Southern Cayuga Central School District	CAYUGA
Leslie B Lehn Middle School	51101040003	305	Port Byron Central School District	CAYUGA
Bemus Point Elementary School	61001040001	390	Bemus Point Central School District	CHAUTAUQUA
Maple Grove High School	61001040005	384	Bemus Point Central School District	CHAUTAUQUA
Brocton Elementary School	62301040002	286	Brocton Central School District	CHAUTAUQUA
Brocton Middle High School	62301040003	325	Brocton Central School District	CHAUTAUQUA
Cassadaga Elementary School	60401040002	128	Cassadaga Valley Central School District	CHAUTAUQUA
Cassadaga Valley High School	60401040006	652	Cassadaga Valley Central School District	CHAUTAUQUA
Sinclairville Elementary School	60401040003	380	Cassadaga Valley Central School District	CHAUTAUQUA
Chautauqua Lake Elementary School	60503040002	445	Chautauqua Lake Central School District	CHAUTAUQUA
Chautauqua Lake Secondary School	60503040001	382	Chautauqua Lake Central School District	CHAUTAUQUA
Clymer Central School	60701040003	469	Clymer Central School District	CHAUTAUQUA
Dunkirk Middle School	60800010010	446	Dunkirk City School District	CHAUTAUQUA
Dunkirk Senior High School	60800010009	608	Dunkirk City School District	CHAUTAUQUA
School 3	60800010003	245	Dunkirk City School District	CHAUTAUQUA
School 4	60800010004	235	Dunkirk City School District	CHAUTAUQUA
School 5	60800010005	181	Dunkirk City School District	CHAUTAUQUA
School 7	60800010007	278	Dunkirk City School District	CHAUTAUQUA
Falconer Middle/High School	61101040007	720	Falconer Central School District	CHAUTAUQUA
Harvey C Fenner Elementary School	61101040001	265	Falconer Central School District	CHAUTAUQUA
Paul B D Temple Elementary School	61101040009	291	Falconer Central School District	CHAUTAUQUA
Forestville Central High School	61503040003	324	Forestville Central School District	CHAUTAUQUA
Forestville Elementary School	61503040002	260	Forestville Central School District	CHAUTAUQUA
Fredonia Elementary School	62201060001	617	Fredonia Central School District	CHAUTAUQUA
Fredonia High School	62201060003	502	Fredonia Central School District	CHAUTAUQUA
Fredonia Middle School	62201060002	471	Fredonia Central School District	CHAUTAUQUA
Frewsburg Junior-Senior High School	60301040004	434	Frewsburg Central School District	CHAUTAUQUA
Robert H Jackson Elementary School	60301040002	467	Frewsburg Central School District	CHAUTAUQUA
Abraham Lincoln Elementary School	61700010011	367	Jamestown City School District	CHAUTAUQUA
Carlyle C Ring Elementary School	61700010001	468	Jamestown City School District	CHAUTAUQUA
Clinton V Bush Elementary School	61700010003	296	Jamestown City School District	CHAUTAUQUA
George Washington Middle School	61700010012	526	Jamestown City School District	CHAUTAUQUA
Jamestown High School	61700010013	1459	Jamestown City School District	CHAUTAUQUA
Milton J Fletcher Elementary School	61700010007	475	Jamestown City School District	CHAUTAUQUA
Persell Middle School	61700010006	524	Jamestown City School District	CHAUTAUQUA
Rovillus R Rogers Elementary School	61700010008	258	Jamestown City School District	CHAUTAUQUA
Samuel G Love Elementary School	61700010009	313	Jamestown City School District	CHAUTAUQUA
Thomas Jefferson Middle School	61700010010	475	Jamestown City School District	CHAUTAUQUA
Panama High School	61601040001	296	Panama Central School District	CHAUTAUQUA
Panama K-6 School	61601040003	297	Panama Central School District	CHAUTAUQUA
Pine Valley Central Junior-Senior High School	60601040003	328	Pine Valley Central School District (South Dayton)	CHAUTAUQUA
Pine Valley Elementary School	60601040002	367	Pine Valley Central School District (South Dayton)	CHAUTAUQUA
Ripley Central School	62401040001	330	Ripley Central School District	CHAUTAUQUA
Sherman Elementary School	62601040002	264	Sherman Central School District	CHAUTAUQUA
Sherman High School	62601040003	224	Sherman Central School District	CHAUTAUQUA
Silver Creek Elementary School	61501040003	539	Silver Creek Central School District	CHAUTAUQUA
Silver Creek High School	61501040001	325	Silver Creek Central School District	CHAUTAUQUA
Silver Creek Middle School	61501040002	235	Silver Creek Central School District	CHAUTAUQUA
Southwestern Elementary School	60201060007	649	Southwestern Central School District At Jamestown	CHAUTAUQUA
Southwestern Middle School	60201060006	348	Southwestern Central School District At Jamestown	CHAUTAUQUA
Southwestern Senior High School	60201060003	457	Southwestern Central School District At Jamestown	CHAUTAUQUA
Westfield Elementary School	62901040001	320	Westfield Central School District	CHAUTAUQUA
Westfield High School	62901040002	281	Westfield Central School District	CHAUTAUQUA
Westfield Middle School	62901040004	169	Westfield Central School District	CHAUTAUQUA
Fredonia Primary School	62201060004	367	Fredonia Central School District	CHAUTAUQUA
Bemus Elementary School	61001040001	395	Bemus Point Central School District	CHAUTAUQUA
Maple Grove Junior-Senior High School	61001040005	382	Bemus Point Central School District	CHAUTAUQUA
Panama K-5 School	61601040003	265	Panama Central School District	CHAUTAUQUA
Chautauqua Lake High School	60503040001	287	Chautauqua Lake Central School District	CHAUTAUQUA
Chautauqua Lake Middle School	60503040003	196	Chautauqua Lake Central School District	CHAUTAUQUA
Jefferson Middle School	61700010010	390	Jamestown City School District	CHAUTAUQUA
Lincoln Elementary School	61700010011	369	Jamestown City School District	CHAUTAUQUA
Washington Middle School	61700010012	549	Jamestown City School District	CHAUTAUQUA
Falconer Middle School	61101040005	338	Falconer Central School District	CHAUTAUQUA
Broadway Elementary School	70600010022	472	Elmira City School District	CHEMUNG
Broadway Middle School	70600010019	828	Elmira City School District	CHEMUNG
Diven School	70600010006	434	Elmira City School District	CHEMUNG
Elmira Alternative High School At Washington School	70600010023	62	Elmira City School District	CHEMUNG
Elmira Free Academy	70600010021	853	Elmira City School District	CHEMUNG
Ernie Davis Middle School	70600010018	688	Elmira City School District	CHEMUNG
Fassett Elementary School	70600010007	390	Elmira City School District	CHEMUNG
Hendy Avenue School	70600010010	527	Elmira City School District	CHEMUNG
Parley Coburn School	70600010013	494	Elmira City School District	CHEMUNG
Pine City School	70600010014	368	Elmira City School District	CHEMUNG
Riverside School	70600010015	457	Elmira City School District	CHEMUNG
Southside High School	70600010020	1118	Elmira City School District	CHEMUNG
Thomas K Beecher School	70600010016	395	Elmira City School District	CHEMUNG
Cohen Elementary School	70902060006	484	Elmira Heights Central School District	CHEMUNG
Cohen Middle School	70902060004	255	Elmira Heights Central School District	CHEMUNG
Thomas A Edison High School	70902060002	332	Elmira Heights Central School District	CHEMUNG
Big Flats School	70901060005	422	Horseheads Central School District	CHEMUNG
Center Street School	70901060003	341	Horseheads Central School District	CHEMUNG
Gardner Road Elementary School	70901060009	453	Horseheads Central School District	CHEMUNG
Horseheads Intermediate School	70901060011	628	Horseheads Central School District	CHEMUNG
Horseheads Middle School	70901060010	643	Horseheads Central School District	CHEMUNG
Horseheads Senior High School	70901060007	1344	Horseheads Central School District	CHEMUNG
Ridge Road School	70901060004	416	Horseheads Central School District	CHEMUNG
Elmira Alternative High School	70600010023	77	Elmira City School District	CHEMUNG
Riverside School At Washington School	70600010015	355	Elmira City School District	CHEMUNG
Afton Elementary School	80101040002	277	Afton Central School District	CHENANGO
Afton Junior/Senior High School	80101040003	339	Afton Central School District	CHENANGO
Bainbridge-Guilford High School	80201040001	477	Bainbridge-Guilford Central School District	CHENANGO
Greenlawn Elementary School	80201040002	251	Bainbridge-Guilford Central School District	CHENANGO
Guilford Elementary School	80201040003	130	Bainbridge-Guilford Central School District	CHENANGO
Otselic Valley Elementary School	81401040002	185	Georgetown-South Otselic Central School District	CHENANGO
Otselic Valley Junior-Senior High School	81401040001	204	Georgetown-South Otselic Central School District	CHENANGO
Greene High School	80601040003	369	Greene Central School District	CHENANGO
Greene Intermediate School	80601040002	233	Greene Central School District	CHENANGO
Greene Middle School	80601040004	279	Greene Central School District	CHENANGO
Greene Primary School	80601040001	275	Greene Central School District	CHENANGO
Norwich High School	81200050004	687	Norwich City School District	CHENANGO
Norwich Middle School	81200050003	475	Norwich City School District	CHENANGO
Perry Browne Intermediate School	81200050001	465	Norwich City School District	CHENANGO
Stanford J Gibson Primary School	81200050002	515	Norwich City School District	CHENANGO
Oxford Academy High School	81501040002	251	Oxford Academy And Central School District	CHENANGO
Oxford Academy Middle School	81501040001	267	Oxford Academy And Central School District	CHENANGO
Oxford Academy Primary School	81501040003	325	Oxford Academy And Central School District	CHENANGO
Sherburne-Earlville Elementary School	82001040002	657	Sherburne-Earlville Central School District	CHENANGO
Sherburne-Earlville Middle School	82001040003	342	Sherburne-Earlville Central School District	CHENANGO
Sherburne-Earlville Senior High School	82001040004	468	Sherburne-Earlville Central School District	CHENANGO
Unadilla Valley Central School	81003040003	202	Unadilla Valley Central School District	CHENANGO
Unadilla Valley Elementary School	81003040001	422	Unadilla Valley Central School District	CHENANGO
Unadilla Valley Middle/High School	81003040004	272	Unadilla Valley Central School District	CHENANGO
Afton Middle School High School	80101040003	340	Afton Central School District	CHENANGO
Unadilla Valley Middle School	81003040003	202	Unadilla Valley Central School District	CHENANGO
Unadilla Valley High School	81003040004	331	Unadilla Valley Central School District	CHENANGO
Ausable Forks Elementary School	90201040004	203	Ausable Valley Central School District	CLINTON
Ausable Valley High School	90201040002	428	Ausable Valley Central School District	CLINTON
Ausable Valley Middle School	90201040005	191	Ausable Valley Central School District	CLINTON
Keesville Primary School	90201040001	380	Ausable Valley Central School District	CLINTON
Beekmantown Elementary School	90301060001	404	Beekmantown Central School District	CLINTON
Beekmantown High School	90301060006	650	Beekmantown Central School District	CLINTON
Beekmantown Middle School	90301060005	445	Beekmantown Central School District	CLINTON
Cumberland Head Elementary School	90301060003	489	Beekmantown Central School District	CLINTON
Chazy Central Rural Elementary School	90601020001	245	Chazy Union Free School District	CLINTON
Chazy Central Rural Junior-Senior High School	90601020002	251	Chazy Union Free School District	CLINTON
Mooers Elementary School	90501040006	348	Northeastern Clinton Central School District	CLINTON
Northeastern Clinton Middle School	90501040007	301	Northeastern Clinton Central School District	CLINTON
Northeastern Clinton Senior High School	90501040002	462	Northeastern Clinton Central School District	CLINTON
Rouses Point Elementary School	90501040003	236	Northeastern Clinton Central School District	CLINTON
Northern Adirondack Elementary School	90901040001	419	Northern Adirondack Central School District	CLINTON
Northern Adirondack Middle/High School	90901040002	507	Northern Adirondack Central School District	CLINTON
Peru Intermediate School	91101060004	475	Peru Central School District	CLINTON
Peru Middle School	91101060006	477	Peru Central School District	CLINTON
Peru Senior High School	91101060005	653	Peru Central School District	CLINTON
